CPERSONA_COMPANIA	CSUBSISTEMA	CGRUPOPRODUCTO	CPRODUCTO	CTIPOBANCA	CESTATUSCUENTA	CSUBSISTEMA_TRANSACCION	CTRANSACCION	VERSIONTRANSACCION	CMONEDA	CTIPOHORARIO	DIASEMANA	FHASTA	FDESDE	HORADESDE	HORAHASTA	MONTOMAXIMO	CODIGOREGISTRO	VERSIONCONTROL
2	21	00	000	1	001	21	4001	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121400101USDN6	0
2	21	00	000	1	001	21	4021	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121402101USDN6	0
2	21	00	000	1	001	21	4022	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121402201USDN6	0
2	21	00	000	1	001	21	4023	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121402301USDN6	0
2	21	00	000	1	001	21	4026	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121402601USDN6	0
2	21	00	000	1	001	21	4060	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121406001USDN6	0
2	04	05	510	1	002	04	5058	01	USD	N	2	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,184934	0700	2400	10000000	20405510100204505801USDN2	0
2	04	05	510	1	002	04	5058	01	USD	N	3	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,187197	0700	2400	10000000	20405510100204505801USDN3	0
2	04	05	510	1	002	04	5058	01	USD	N	4	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,189347	0700	2400	10000000	20405510100204505801USDN4	0
2	04	05	510	1	002	04	5058	01	USD	N	5	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,191355	0700	2400	10000000	20405510100204505801USDN5	0
2	04	05	510	1	002	04	5058	01	USD	N	6	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,193352	0700	2400	10000000	20405510100204505801USDN6	0
2	04	05	510	1	002	04	5058	01	USD	N	7	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,195159	0700	2400	10000000	20405510100204505801USDN7	0
2	04	06	614	1	002	04	5058	01	USD	N	1	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,212755	0700	2400	10000000	20406614100204505801USDN1	0
2	04	06	614	1	002	04	5058	01	USD	N	2	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,215251	0700	2400	10000000	20406614100204505801USDN2	0
2	04	06	614	1	002	04	5058	01	USD	N	3	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,217405	0700	2400	10000000	20406614100204505801USDN3	0
2	21	00	000	1	001	21	4313	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121431301USDN6	0
2	04	06	614	1	002	04	5058	01	USD	N	4	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,219448	0700	2400	10000000	20406614100204505801USDN4	0
2	21	00	000	1	001	21	4320	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121432001USDN6	0
2	04	06	614	1	002	04	5058	01	USD	N	5	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,221485	0700	2400	10000000	20406614100204505801USDN5	0
2	04	06	614	1	002	04	5058	01	USD	N	6	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,223679	0700	2400	10000000	20406614100204505801USDN6	0
2	04	06	614	1	002	04	5058	01	USD	N	7	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,225983	0700	2400	10000000	20406614100204505801USDN7	0
2	04	07	001	1	002	04	5058	01	USD	N	1	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,228344	0700	2400	10000000	20407001100204505801USDN1	0
2	04	07	001	1	002	04	5058	01	USD	N	2	31/12/2999 0:00:00,000000	7/8/2015 21:43:33,230594	0700	2400	10000000	20407001100204505801USDN2	0
2	21	00	000	1	001	21	8000	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121800001USDN6	0
2	21	00	000	1	001	21	8001	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121800101USDN6	0
2	21	00	000	1	001	21	8002	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121800201USDN6	0
2	21	00	000	1	001	21	8003	01	USD	N	6	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121800301USDN6	0
2	21	00	000	1	001	21	1000	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121100001USDN7	0
2	21	00	000	1	001	21	1170	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121117001USDN7	0
2	21	00	000	1	001	21	1171	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121117101USDN7	0
2	21	00	000	1	001	21	1172	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121117201USDN7	0
2	21	00	000	1	001	21	5008	01	USD	N	1	31/12/2999 0:00:00,000000	28/6/2018 20:53:06,772083	0700	2359	100000	22100000100121500801USDN1	1
2	21	00	000	1	001	21	5008	01	USD	N	2	31/12/2999 0:00:00,000000	28/6/2018 20:53:06,836013	0700	2359	100000	22100000100121500801USDN2	1
2	21	00	000	1	001	21	5008	01	USD	N	3	31/12/2999 0:00:00,000000	28/6/2018 20:53:06,895043	0700	2359	100000	22100000100121500801USDN3	1
2	21	00	000	1	001	21	1203	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121120301USDN7	0
2	21	00	000	1	001	21	5008	01	USD	N	4	31/12/2999 0:00:00,000000	28/6/2018 20:53:06,951024	0700	2359	100000	22100000100121500801USDN4	1
2	21	00	000	1	001	21	5008	01	USD	N	5	31/12/2999 0:00:00,000000	28/6/2018 20:53:07,013002	0700	2359	100000	22100000100121500801USDN5	1
2	21	00	000	1	001	21	5008	01	USD	N	6	31/12/2999 0:00:00,000000	28/6/2018 20:53:07,072014	0700	2359	100000	22100000100121500801USDN6	1
2	21	00	000	1	001	21	1208	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121120801USDN7	0
2	21	00	000	1	001	21	5008	01	USD	N	7	31/12/2999 0:00:00,000000	28/6/2018 20:53:07,125846	0700	2359	100000	22100000100121500801USDN7	1
2	21	00	000	1	001	21	1210	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121121001USDN7	0
2	21	00	000	1	001	21	5011	01	USD	N	2	31/12/2999 0:00:00,000000	28/6/2018 20:53:10,927803	0700	2359	100000	22100000100121501101USDN2	1
