CPERSONA_COMPANIA	CSUBSISTEMA	CGRUPOPRODUCTO	CPRODUCTO	CTIPOBANCA	CESTATUSCUENTA	CSUBSISTEMA_TRANSACCION	CTRANSACCION	VERSIONTRANSACCION	VERSIONCONTROL
2	02	01	001	1	001	02	5002	01	0
2	02	01	001	1	001	02	5003	01	0
2	02	01	001	1	001	02	5004	01	0
2	02	01	001	1	001	02	5005	01	0
2	02	01	001	1	001	02	5010	01	0
2	02	01	001	1	001	02	5100	01	0
2	02	01	001	1	001	02	6500	01	0
2	02	01	001	1	001	02	7000	01	0
2	02	01	001	1	001	02	7001	01	0
2	02	01	001	1	001	02	7006	01	0
2	02	01	001	1	001	02	7007	01	0
2	02	01	001	1	001	02	7008	01	0
2	02	01	001	1	001	02	7009	01	0
2	02	01	001	1	001	02	7010	01	0
2	02	01	001	1	001	02	7011	01	0
2	02	01	001	1	001	02	7012	01	0
2	02	01	001	1	001	02	7013	01	0
2	02	01	001	1	001	02	7014	01	0
2	02	01	001	1	001	02	7015	01	0
2	02	01	001	1	001	02	7016	01	0
2	02	01	001	1	001	02	7017	01	0
2	02	01	001	1	001	02	7018	01	0
2	02	01	001	1	001	02	7022	01	0
2	02	01	001	1	001	02	7024	01	0
2	02	01	001	1	001	02	7120	01	0
2	02	01	001	1	001	02	9999	01	0
2	21	01	001	1	001	21	2000	01	0
2	21	01	000	1	001	21	2000	01	0
2	21	01	001	1	001	21	3000	01	0
2	21	01	000	1	001	21	3000	01	0
2	21	01	001	1	001	21	3020	01	0
2	21	01	000	1	001	21	3020	01	0
2	21	01	001	1	001	21	3021	01	0
2	21	01	000	1	001	21	3021	01	0
2	21	01	001	1	001	21	3022	01	0
2	21	01	000	1	001	21	3022	01	0
2	21	01	001	1	001	21	3023	01	0
2	21	01	000	1	001	21	3023	01	0
2	21	01	001	1	001	21	3026	01	0
2	21	01	000	1	001	21	3026	01	0
2	21	01	001	1	001	21	3030	01	0
2	21	01	000	1	001	21	3030	01	0
2	21	01	001	1	001	21	3060	01	0
2	21	01	000	1	001	21	3060	01	0
2	21	01	001	1	001	21	3061	01	0
2	21	01	000	1	001	21	3061	01	0
2	21	01	001	1	001	21	3062	01	0
2	21	01	000	1	001	21	3062	01	0
2	21	01	001	1	001	21	3200	01	0
2	21	01	000	1	001	21	3200	01	0
2	21	01	001	1	001	21	3201	01	0
2	21	01	000	1	001	21	3201	01	0
2	21	01	001	1	001	21	3300	01	0
2	21	01	000	1	001	21	3300	01	0
2	21	01	001	1	001	21	3301	01	0
2	21	01	000	1	001	21	3301	01	0
2	21	01	001	1	001	21	3302	01	0
2	21	01	000	1	001	21	3302	01	0
2	21	01	001	1	001	21	3303	01	0
2	21	01	000	1	001	21	3303	01	0
2	21	01	001	1	001	21	3304	01	0
2	21	01	000	1	001	21	3304	01	0
2	21	01	001	1	001	21	3305	01	0
2	21	01	000	1	001	21	3305	01	0
2	21	01	001	1	001	21	3311	01	0
2	21	01	000	1	001	21	3311	01	0
2	21	01	001	1	001	21	3312	01	0
2	21	01	000	1	001	21	3312	01	0
2	21	01	001	1	001	21	3313	01	0
2	21	01	000	1	001	21	3313	01	0
2	21	01	001	1	001	21	3314	01	0
